form,PRET.SG,PRET.PL,PTCP,links,Pattern,simple_pattern_sing,simple_pattern_pl,class_n
rīdaną,raid,ridum,ridanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/rīdaną,ABCC,ABC,ABB,1
bīdaną,baid,bidum,bidanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bīdaną,ABCC,ABC,ABB,1
bītaną,bait,bitum,bitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bītaną,ABCC,ABC,ABB,1
skīnaną,skain,skinum,skinanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skīnaną,ABCC,ABC,ABB,1
snīþaną,snaiþ,snidum,snidanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/snīþaną,ABCC,ABC,ABB,1
rīsaną,rais,rizum,rizanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/rīsaną,ABCC,ABC,ABB,1
bilībaną,bilaib,bilibum,bilibanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bilībaną,ABCC,ABC,ABB,1
drībaną,draib,dribum,dribanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/drībaną,ABCC,ABC,ABB,1
grīpaną,graip,gripum,gripanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/grīpaną,ABCC,ABC,ABB,1
līþaną,laiþ,lidum,lidanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/līþaną,ABCC,ABC,ABB,1
skītaną,skait,skitum,skitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skītaną,ABCC,ABC,ABB,1
skrībaną,skraib,skribum,skribanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skrībaną,ABCC,ABC,ABB,1
skrīþaną,skraiþ,skridum,skridanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skrīþaną,ABCC,ABC,ABB,1
slītaną,slait,slitum,slitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/slītaną,ABCC,ABC,ABB,1
snīwaną,snaiw,sniwum,sniwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/snīwaną,ABCC,ABC,ABB,1
spīwaną,spaiw,spiwum,spiwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/spīwaną,ABCC,ABC,ABB,1
stīganą,staig,stigum,stiganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/stīganą,ABCC,ABC,ABB,1
wrītaną,wrait,writum,writanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/wrītaną,ABCC,ABC,ABB,1
geutaną,gaut,gutum,gutanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/geutaną,ABCC,ABC,ABB,2
beudaną,baud,budum,budanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/beudaną,ABCC,ABC,ABB,2
fleuganą,flaug,flugum,fluganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fleuganą,ABCC,ABC,ABB,2
brewwaną,brau(w),bruwum,bruwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brewwaną,ABCC,ABC,ABB,2
leuganą,laug,lugum,luganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/leuganą,ABCC,ABC,ABB,2
fleuhaną,flauh,flugum,fluganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fleuhaną,ABCC,ABC,ABB,2
fleutaną,flaut,flutum,flutanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fleutaną,ABCC,ABC,ABB,2
freusaną,fraus,fruzum,fruzanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/freusaną,ABCC,ABC,ABB,2
furibeudaną,furibaud,furibudum,furibudanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/furibeudaną,ABCC,ABC,ABB,2
keusaną,kaus,kuzum,kuzanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/keusaną,ABCC,ABC,ABB,2
kewwaną,kau(w),kuwum,kuwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/kewwaną,ABCC,ABC,ABB,2
kreupaną,kraup,krupum,krupanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/kreupaną,ABCC,ABC,ABB,2
lūkaną,lauk,lukum,lukanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/lūkaną,ABCC,ABC,ABB,2
reukaną,rauk,rukum,rukanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/reukaną,ABCC,ABC,ABB,2
skeubaną,skaub,skubum,skubanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skeubaną,ABCC,ABC,ABB,2
skeutaną,skaut,skutum,skutanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skeutaną,ABCC,ABC,ABB,2
sūganą,saug,sugum,suganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sūganą,ABCC,ABC,ABB,2
sūpaną,saup,supum,supanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sūpaną,ABCC,ABC,ABB,2
þreskaną,þrask,þruskum,þruskanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/þreskaną,ABCC,ABC,ABB,3
sinkwaną,sankw,sunkum,sunkanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sinkwaną,ABCC,ABC,ABB,3
brestaną,brast,brustum,brustanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brestaną,ABCC,ABC,ABB,3
berganą,barg,burgum,burganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/berganą,ABCC,ABC,ABB,3
bindaną,band,bundum,bundanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bindaną,ABCC,ABC,ABB,3
brinnaną,brann,brunnum,brunnanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brinnaną,ABCC,ABC,ABB,3
drinkaną,drank,drunkum,drunkanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/drinkaną,ABCC,ABC,ABB,3
fehtaną,faht,fuhtum,fuhtanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fehtaną,ABCC,ABC,ABB,3
finþaną,fanþ,fundum,fundanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/finþaną,ABCC,ABC,ABB,3
geldaną,gald,guldum,guldanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/geldaną,ABCC,ABC,ABB,3
helpaną,halp,hulpum,hulpanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/helpaną,ABCC,ABC,ABB,3
rinnaną,rann,runnum,runnanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/rinnaną,ABCC,ABC,ABB,3
singwaną,sangw,sungum,sunganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/singwaną,ABCC,ABC,ABB,3
smeltaną,smalt,smultum,smultanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/smeltaną,ABCC,ABC,ABB,3
spinnaną,spann,spunnum,spunnanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/spinnaną,ABCC,ABC,ABB,3
springaną,sprang,sprungum,sprunganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/springaną,ABCC,ABC,ABB,3
stinkwaną,stankw,stunkum,stunkanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/stinkwaną,ABCC,ABC,ABB,3
swellaną,swall,swullum,swullanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/swellaną,ABCC,ABC,ABB,3
swimmaną,swamm,summum,summanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/swimmaną,ABCC,ABC,ABB,3
werpaną,warp,wurpum,wurpanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/werpaną,ABCC,ABC,ABB,3
werþaną,warþ,wurdum,wurdanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/werþaną,ABCC,ABC,ABB,3
windaną,wand,wundum,wundanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/windaną,ABCC,ABC,ABB,3
winnaną,wann,wunnum,wunnanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/winnaną,ABCC,ABC,ABB,3
brekaną,brak,brēkum,brukanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/brekaną,ABCD,ABC,ABC,4
beraną,bar,bērum,buranaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/beraną,ABCD,ABC,ABC,4
kwemaną,kwam,kwēmum,kumanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/kwemaną,ABCD,ABC,ABC,4
nemaną,nam,nēmum,numanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/nemaną,ABCD,ABC,ABC,4
skeraną,skar,skērum,skuranaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skeraną,ABCD,ABC,ABC,4
stelaną,stal,stēlum,stulanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/stelaną,ABCD,ABC,ABC,4
trudaną,trad,trēdum,trudanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/trudaną,ABCA,ABA,ABA,4
weganą,wag,wēgum,weganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/weganą,ABCA,ABA,ABA,5
drepaną,drap,drēpum,drepanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/drepaną,ABCA,ABA,ABA,5
etaną,ēt,ētum,etanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/etaną,ABBA,ABA,ABA,5
fragebaną,fragab,fragēbum,fragebanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fragebaną,ABCA,ABA,ABA,5
gebaną,gab,gēbum,gebanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/gebaną,ABCA,ABA,ABA,5
lesaną,las,lēzum,lezanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/lesaną,ABCA,ABA,ABA,5
wrekaną,wrak,wrēkum,wrekanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/wrekaną,ABCA,ABA,ABA,5
bidjaną,bad,bēdum,bedanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bidjaną,ABCD,ABC,ABC,5
ligjaną,lag,lēgum,leganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/ligjaną,ABCD,ABC,ABC,5
sitjaną,sat,sētum,setanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sitjaną,ABCD,ABC,ABC,5
hlaþaną,hlōþ,hlōdum,hladanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hlaþaną,ABBA,ABA,ABA,6
malaną,mōl,mōlum,malanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/malaną,ABBA,ABA,ABA,6
wadaną,wōd,wōdum,wadanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/wadaną,ABBA,ABA,ABA,6
bakaną,bōk,bōkum,bakanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bakaną,ABBA,ABA,ABA,6
draganą,drōg,drōgum,draganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/draganą,ABBA,ABA,ABA,6
faraną,fōr,fōrum,faranaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/faraną,ABBA,ABA,ABA,6
gnaganą,gnōg,gnōgum,gnaganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/gnaganą,ABBA,ABA,ABA,6
grabaną,grōb,grōbum,grabanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/grabaną,ABBA,ABA,ABA,6
skabaną,skōb,skōbum,skabanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skabaną,ABBA,ABA,ABA,6
slahaną,slōh,slōgum,slaganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/slahaną,ABBA,ABA,ABA,6
standaną,stōþ,stōdum,stadanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/standaną,ABBA,ABA,ABA,6
habjaną,habdē,habdēdum,habdaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/habjaną,ABBA,ABA,ABA,6
hlahjaną,hlōh,hlōgum,hlaganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hlahjaną,ABBA,ABA,ABA,6
skapjaną,skōp,skōpum,skapanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/skapjaną,ABBA,ABA,ABA,6
swarjaną,swōr,swōrum,swuranaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/swarjaną,ABBC,ABC,ABC,6
wahsijaną,wōhs,wōhsum,wahsanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/wahsijaną,ABBC,ABC,ABC,6
haitaną,hehait,hehaitum,haitanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/haitaną,ABBA,ABA,ABA,7
hawwaną,hehau(w),hehawwum,hawwanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hawwaną,ABBA,ABA,ABA,7
hlaupaną,hehlaup,hehlaupum,hlaupanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hlaupaną,ABBA,ABA,ABA,7
bannaną,beban(n),bebannum,bannanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/bannaną,ABBA,ABA,ABA,7
hanhaną,hehanh,hehangum,hanganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/hanhaną,ABBA,ABA,ABA,7
fallaną,fefall,fefallum,fallanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fallaną,ABBA,ABA,ABA,7
fanhaną,fefanh,fefangum,fanganaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/fanhaną,ABBA,ABA,ABA,7
haldaną,hehald,hehaldum,haldanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/haldaną,ABBA,ABA,ABA,7
waskaną,wewask,wewaskum,waskanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/waskaną,ABBA,ABA,ABA,7
blēsaną,beblēs,beblēzum,blēzanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/blēsaną,ABBA,ABA,ABA,7
grētaną,gegrōt,gegrōtum,grētanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/grētaną,ABBA,ABA,ABA,7
sēaną,sezō,sezōum,sēanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/sēaną,ABBA,ABA,ABA,7
lētaną,lelōt,leltum,lētanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/lētaną,ABCA,ABA,ABA,7
rēdaną,rerōd,rerdum,rēdanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/rēdaną,ABCA,ABA,ABA,7
glōaną,geglō,geglōum,glōanaz,https://en.wiktionary.org/wiki/Reconstruction:Proto-Germanic/glōaną,ABBA,ABA,ABA,7
